,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Max Temp (F),Hotel Name
2,albany,0,US,1601342874,84,42.6,-73.97,22.22,3.23,71.99600000000001,
33,mackay,0,AU,1601342884,47,-21.15,149.2,26.0,7.7,78.80000000000001,Mantra Mackay
46,karpathos,0,GR,1601342888,94,35.51,27.21,24.0,1.5,75.2,Konstantinos Palace
47,mangrol,0,IN,1601342889,78,21.12,70.12,26.1,3.09,78.98,Kaveri Hotel
64,mandiana,0,GN,1601342894,79,10.63,-8.68,23.9,0.99,75.02,
76,raiwind,0,PK,1601342898,83,31.25,74.22,25.0,1.77,77.0,
80,atuona,0,PF,1601342900,72,-9.8,-139.03,25.67,6.31,78.206,Hôtel Hiva Oa Hanakee Lodge
107,vernon,0,CA,1601342786,48,50.26,-119.27,21.67,0.82,71.006,Prestige Vernon Lodge and Conference Centre
180,alta floresta,0,BR,1601342739,58,-9.88,-56.09,25.59,0.75,78.062,Floresta Amazonica Hotel
186,caravelas,0,BR,1601342937,86,-17.71,-39.25,23.86,4.6,74.94800000000001,Pousada Encanto Abrolhos
197,deori,0,IN,1601342941,81,21.45,82.62,24.1,0.48,75.38,
214,bengkulu,0,ID,1601342946,81,-3.8,102.27,26.2,4.39,79.16,Mercure Bengkulu
228,yulara,0,AU,1601342951,53,-25.24,130.99,25.0,2.1,77.0,The Lost Camel Hotel - Ayers Rock Resort
230,chabahar,0,IR,1601342951,88,25.29,60.64,26.0,1.54,78.80000000000001,Laleh Hotel
259,dzaoudzi,0,YT,1601342960,83,-12.79,45.27,23.0,1.39,73.4,Hotel Maharajah Mayotte
262,pozo colorado,0,PY,1601342961,38,-23.49,-58.8,21.57,2.52,70.826,Hospedaje la Amistad
278,anicuns,0,BR,1601342967,34,-16.46,-49.96,26.2,0.17,79.16,ATLANTIS HOTEL ANICUNS
281,gudari,0,IN,1601342967,84,19.35,83.78,24.61,1.13,76.298,Tirupati Hotel
300,airai,0,TL,1601342975,38,-8.93,125.41,24.75,2.33,76.55000000000001,
316,nizwa,0,OM,1601342980,45,22.93,57.53,24.4,0.57,75.92,Antique inn
337,guerrero negro,0,MX,1601342986,53,27.98,-114.06,25.2,8.05,77.36,Hotel Los Caracoles
349,haveli,0,PK,1601342989,31,30.45,73.7,23.47,0.84,74.24600000000001,Rafiq teastal
370,haifa,0,IL,1601342832,79,32.82,34.99,26.54,3.92,79.77199999999999,Bay Club Hotel
382,sao joao da barra,0,BR,1601342999,88,-21.64,-41.05,23.6,3.53,74.48,Pousada Kactus
400,tiznit,0,MA,1601343010,42,29.58,-9.5,22.1,0.92,71.78,
412,seoni,0,IN,1601343016,86,22.08,79.53,23.42,2.79,74.156,Hotel Shivani Palace
417,nouadhibou,0,MR,1601343018,78,20.93,-17.03,22.0,9.3,71.6,Free Zone Hotel Nouadhibou
419,asuncion,0,PY,1601342743,37,-25.3,-57.64,22.0,2.6,71.6,Aspen Hotel & Apart
474,erzin,0,TR,1601343039,89,36.96,36.2,25.0,0.78,77.0,Hattusa Vacation Thermal Club Erzin
477,tura,0,IN,1601343040,83,25.52,90.22,26.62,0.85,79.916,Hotel Polo Orchid
487,silopi,0,TR,1601343044,27,37.25,42.47,21.41,1.46,70.53800000000001,Grand Hotel
516,grand-santi,0,GF,1601343040,75,4.25,-54.38,24.58,1.95,76.244,Hotel La Villa Couacou
525,mocuba,0,MZ,1601343058,65,-16.84,36.99,22.77,1.36,72.98599999999999,Pensão Venus
529,benghazi,0,LY,1601343060,73,32.12,20.07,25.62,5.8,78.116,Ishbiliyah Beach Hotel
531,goianapolis,0,BR,1601343060,44,-16.51,-49.02,26.0,0.5,78.80000000000001,
