,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ponta do sol,75,PT,1601342873,82,32.67,-17.1,20.0,6.2
1,busselton,100,AU,1601342873,94,-33.65,115.33,16.11,2.68
2,albany,0,US,1601342874,84,42.6,-73.97,22.22,3.23
3,cape town,9,ZA,1601342874,93,-33.93,18.42,12.22,2.1
4,zhigansk,100,RU,1601342875,95,66.77,123.37,1.54,11.27
5,yellowknife,20,CA,1601342771,58,62.46,-114.35,12.0,4.1
6,tera,0,NE,1601342875,35,14.01,0.75,31.06,3.96
7,bluff,100,NZ,1601342876,83,-46.6,168.33,3.33,8.05
8,upernavik,85,GL,1601342876,89,72.79,-56.15,-3.89,3.35
9,hermanus,57,ZA,1601342876,94,-34.42,19.23,8.89,3.61
10,avarua,4,CK,1601342856,69,-21.21,-159.78,26.0,8.7
11,fare,34,PF,1601342587,80,-16.7,-151.02,25.69,9.07
12,banda aceh,96,ID,1601342703,70,5.56,95.32,27.28,3.15
13,mahebourg,40,MU,1601342878,88,-20.41,57.7,22.0,4.1
14,mataura,100,NZ,1601342878,83,-46.19,168.86,3.33,8.05
15,dongsheng,0,CN,1601342860,69,39.82,109.98,10.03,6.82
16,punta arenas,20,CL,1601342879,90,-53.15,-70.92,0.0,4.6
17,fureidis,40,IL,1601342879,73,32.6,34.96,25.0,1.5
18,barrow,90,US,1601342879,80,71.29,-156.79,-1.0,4.6
19,fort walton beach,40,US,1601342703,94,30.41,-86.62,27.22,1.5
20,norman wells,90,CA,1601342776,81,65.28,-126.83,7.0,6.7
21,torbay,90,CA,1601342880,100,47.67,-52.73,18.33,8.2
22,ushuaia,40,AR,1601342716,92,-54.8,-68.3,0.0,5.1
23,esperance,40,AU,1601342881,88,-33.87,121.9,17.0,6.2
24,mar del plata,0,AR,1601342881,100,-38.0,-57.56,10.56,2.1
25,zhuhai,40,CN,1601342882,83,22.28,113.57,29.0,5.1
26,vestmannaeyjar,99,IS,1601342882,75,63.44,-20.27,7.92,7.76
27,serdobsk,67,RU,1601342882,53,52.46,44.22,8.5,3.6
28,lebu,100,CL,1601342882,81,-37.62,-73.65,8.71,1.3
29,fernandopolis,50,BR,1601342883,47,-20.28,-50.25,28.24,4.09
30,naze,75,JP,1601342883,69,28.37,129.48,26.0,6.2
31,cockburn town,41,TC,1601342884,76,21.46,-71.14,29.09,8.16
32,batemans bay,0,AU,1601342829,60,-35.72,150.18,16.67,0.45
33,mackay,0,AU,1601342884,47,-21.15,149.2,26.0,7.7
34,khatanga,99,RU,1601342884,96,71.97,102.5,-1.42,5.12
35,kodiak,1,US,1601342778,54,57.79,-152.41,12.0,5.7
36,balkanabat,0,TM,1601342885,35,39.51,54.37,13.56,3.26
37,vaini,40,TO,1601342885,78,-21.2,-175.2,27.0,4.6
38,dingle,12,PH,1601342886,72,11.0,122.67,29.45,0.46
39,lompoc,75,US,1601342831,93,34.64,-120.46,19.0,4.1
40,tiksi,61,RU,1601342886,83,71.69,128.87,1.25,11.16
41,butaritari,92,KI,1601342887,71,3.07,172.79,28.08,5.43
42,yaan,100,NG,1601342887,98,7.38,8.57,22.5,3.75
43,aklavik,90,CA,1601342887,100,68.22,-135.01,3.0,3.6
44,pedasi,26,PA,1601342888,74,7.53,-80.03,26.93,0.49
45,souillac,40,MU,1601342888,88,-20.52,57.52,22.0,4.1
46,karpathos,0,GR,1601342888,94,35.51,27.21,24.0,1.5
47,mangrol,0,IN,1601342889,78,21.12,70.12,26.1,3.09
48,killybegs,99,IE,1601342889,96,54.63,-8.45,5.56,3.26
49,lerwick,0,GB,1601342889,87,60.15,-1.15,11.0,6.7
50,vila velha,0,BR,1601342871,78,-20.33,-40.29,26.67,5.1
51,kuching,20,MY,1601342889,83,1.55,110.33,28.0,2.1
52,geraldton,0,AU,1601342890,63,-28.77,114.6,19.0,2.1
53,port alfred,0,ZA,1601342890,69,-33.59,26.89,12.99,7.0
54,poum,100,NC,1601342891,83,-20.23,164.02,21.92,11.24
55,atar,0,MR,1601342891,27,20.52,-13.05,30.49,2.61
56,kulhudhuffushi,100,MV,1601342891,75,6.62,73.07,27.91,3.84
57,puerto ayora,97,EC,1601342892,85,-0.74,-90.35,20.0,1.79
58,dikson,100,RU,1601342892,94,73.51,80.55,3.95,11.42
59,sorsk,100,RU,1601342892,84,54.0,90.25,2.09,2.13
60,chokurdakh,7,RU,1601342893,73,70.63,147.92,5.58,2.42
61,saint george,1,US,1601342658,11,37.1,-113.58,29.44,5.1
62,barpathar,77,IN,1601342893,94,26.3,93.87,24.69,0.54
63,saldanha,0,ZA,1601342894,75,-33.01,17.94,7.0,0.5
64,mandiana,0,GN,1601342894,79,10.63,-8.68,23.9,0.99
65,qaanaaq,90,GL,1601342895,78,77.48,-69.36,-10.38,3.79
66,tuktoyaktuk,90,CA,1601342895,93,69.45,-133.04,2.0,4.1
67,bambous virieux,40,MU,1601342895,88,-20.34,57.76,22.78,4.1
68,broome,20,US,1601342896,77,42.25,-75.83,21.11,4.6
69,ulaangom,0,MN,1601342896,67,49.98,92.07,5.1,0.36
70,labuhan,0,ID,1601342896,65,-6.88,112.21,28.66,4.66
71,greenwood,1,US,1601342897,100,34.17,-82.12,21.67,2.6
72,port elizabeth,17,ZA,1601342897,66,-33.92,25.57,13.0,7.7
73,saint-philippe,35,RE,1601342897,68,-21.36,55.77,21.0,3.1
74,bredasdorp,68,ZA,1601342898,81,-34.53,20.04,10.0,2.6
75,jamestown,75,US,1601342604,64,42.1,-79.24,21.67,4.6
76,raiwind,0,PK,1601342898,83,31.25,74.22,25.0,1.77
77,rikitea,86,PF,1601342899,89,-23.12,-134.97,22.12,8.42
78,east london,74,ZA,1601342899,59,-33.02,27.91,15.51,4.81
79,severo-kurilsk,99,RU,1601342899,84,50.68,156.12,10.33,2.96
80,atuona,0,PF,1601342900,72,-9.8,-139.03,25.67,6.31
81,harper,56,LR,1601342900,90,4.38,-7.72,24.71,3.35
82,pangoa,97,PE,1601342900,96,-12.12,-73.0,20.04,1.47
83,hami,9,CN,1601342901,32,42.8,93.45,14.67,1.63
84,faanui,6,PF,1601342901,79,-16.48,-151.75,25.71,8.55
85,kloulklubed,75,PW,1601342901,70,7.04,134.26,30.0,3.6
86,tayu,11,ID,1601342902,67,-6.54,111.05,28.1,3.83
87,howard springs,40,AU,1601342902,55,-12.5,131.05,32.22,0.5
88,te anau,100,NZ,1601342902,84,-45.42,167.72,1.71,2.66
89,lircay,100,PE,1601342903,68,-12.99,-74.72,7.85,0.61
90,zaysan,94,KZ,1601342903,73,47.47,84.87,4.15,1.57
91,kihei,40,US,1601342903,58,20.79,-156.47,31.0,8.2
92,longyearbyen,75,SJ,1601342904,86,78.22,15.64,4.0,3.1
93,eureka,0,US,1601342904,68,40.8,-124.16,26.67,0.3
94,leshukonskoye,75,RU,1601342904,94,64.9,45.76,7.33,2.32
95,provideniya,75,RU,1601342904,69,64.38,-173.3,4.0,1.0
96,namibe,100,AO,1601342905,88,-15.2,12.15,16.96,2.08
97,talaya,100,RU,1601342905,55,61.38,152.75,7.69,2.89
98,nanortalik,0,GL,1601342905,77,60.14,-45.24,2.18,5.08
99,gimli,100,CA,1601342906,99,50.63,-96.99,10.0,3.13
100,acajutla,100,SV,1601342670,84,13.59,-89.83,22.78,0.97
101,ahipara,22,NZ,1601342906,59,-35.17,173.17,15.0,7.13
102,saint-pierre,20,RE,1601342907,68,-21.34,55.48,21.0,3.1
103,baherden,0,TM,1601342907,47,38.44,57.43,8.97,1.83
104,russkaya polyana,100,UA,1601342907,67,49.42,31.92,14.53,2.39
105,arman,100,RU,1601342908,70,59.7,150.17,7.89,0.61
106,georgetown,20,MY,1601342771,83,5.41,100.34,28.0,2.6
107,vernon,0,CA,1601342786,48,50.26,-119.27,21.67,0.82
108,chuy,0,UY,1601342908,80,-33.7,-53.46,9.35,2.13
109,dudinka,90,RU,1601342908,100,69.41,86.18,-1.0,6.0
110,saint-louis,0,SN,1601342909,74,16.33,-15.0,29.0,1.0
111,carnarvon,0,AU,1601342909,56,-24.87,113.63,21.0,7.7
112,boulder city,1,US,1601342622,7,35.98,-114.83,31.11,4.6
113,paragominas,87,BR,1601342910,89,-2.97,-47.48,23.34,2.81
114,husavik,90,IS,1601342910,69,66.04,-17.34,2.0,5.1
115,chisinau,74,MD,1601342743,82,47.01,28.86,15.0,2.6
116,hobart,20,AU,1601342825,58,-42.88,147.33,14.44,2.1
117,abonnema,100,NG,1601342910,92,4.71,6.79,24.23,2.7
118,constitucion,100,CL,1601342730,85,-35.33,-72.42,9.29,4.3
119,cherskiy,0,RU,1601342911,53,68.75,161.3,8.65,8.89
120,hilo,1,US,1601342912,62,19.73,-155.09,30.0,5.7
121,sao jose do rio pardo,100,BR,1601342912,83,-21.6,-46.89,23.0,3.1
122,amparafaravola,77,MG,1601342912,89,-17.58,48.22,14.99,0.92
123,sakaraha,0,MG,1601342913,59,-22.9,44.53,20.34,1.27
124,abu zabad,100,SD,1601342913,68,12.35,29.25,26.18,4.8
125,gunjur,20,GM,1601342913,100,13.2,-16.73,25.0,2.97
126,ancud,100,CL,1601342914,93,-41.87,-73.82,9.44,0.89
127,kampong chhnang,100,KH,1601342914,82,12.17,104.55,26.65,4.08
128,santa rosalia,0,MX,1601342915,37,27.32,-112.28,31.75,2.18
129,margate,100,GB,1601342915,78,51.38,1.39,12.22,0.45
130,san isidro,40,PE,1601342915,82,-12.12,-77.05,16.11,5.1
131,bontang,89,ID,1601342916,73,0.13,117.5,26.32,2.01
132,port macquarie,25,AU,1601342916,41,-31.43,152.92,21.11,0.89
133,ayan,100,RU,1601342917,80,56.45,138.17,9.75,7.22
